FECHA_REGISTRO;HORA_REGISTRO;PRECIPITACION;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;ESTACION;FECHA_CORTE
20210820;21:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;22:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210820;23:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;0:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;1:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;2:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;3:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;4:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;8:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;9:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;10:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;11:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;12:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;13:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;14:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;15:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;16:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;17:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;18:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;19:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;20:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;21:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;22:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210821;23:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;0:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;1:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;2:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;3:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;4:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;5:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;6:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
20210822;7:00:00;0;CUSCO;URUBAMBA;CHINCHERO;81302;URU-URUS-PLU-01;20240530
